PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
21,2/22/2020,12:25:11 PM,3,2,"Sipling, Eric",1000084319,Right,ELI_BLU,"Salva, Will",1000084162,Right,ROA_COL,Windup,2,Bottom,0,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.07450512,4.275549662,-1.169873367,1963.673035,89.7522944,9:00,6.21677679,2.005738528,5.202068113,-57.64439723,-0.070621193,-3.813969397,5.442146947,0.587599533,64.12206672,-6.476833994,-1.88342797,0.546114711,,,,,,,,,,,,1.64176464,-1.400510181,-1.894753893,50,6.570684938,2.211357319,-102.9426984,6.047783491,1.737397156,19.29239808,-33.65613822,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,439e3dde-5598-11ea-b030-484d7ee4b65b
22,2/22/2020,12:25:30 PM,3,3,"Sipling, Eric",1000084319,Right,ELI_BLU,"Salva, Will",1000084162,Right,ROA_COL,Windup,2,Bottom,0,1,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.11266164,-1.670809808,-4.421288688,2073.216177,214.5488268,1:15,6.582233666,1.748332827,5.584846032,-22.46661035,19.68930728,13.58409594,3.144839658,-1.25613936,73.71463858,-5.923422073,-1.846787819,0.467305392,,,,,,,,,,,,-8.933682493,11.20112959,-1.376866672,50,6.424257602,8.877314825,-120.2657098,-4.215794431,-12.68441598,29.96425932,-16.27021637,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,532eaafd-5598-11ea-b030-484d7ee4b65b
23,2/22/2020,12:25:52 PM,3,4,"Sipling, Eric",1000084319,Right,ELI_BLU,"Salva, Will",1000084162,Right,ROA_COL,Windup,2,Bottom,0,2,1,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.17047962,-2.6003376,-3.91074147,2069.302702,211.5335194,1:00,6.515997625,1.845947712,5.461666742,-17.27335804,24.96486669,15.34295518,2.635605231,-0.541130609,73.82592049,-5.86112105,-1.008287279,0.467761363,75.33747233,54.14034777,48.73019655,5106.947405,53.53957575,93.36792668,96.09103313,181.1721288,69.10835265,63.89340086,4.916332397,-9.633117326,14.30489957,-1.511658795,50,6.275229803,7.739675484,-120.3381174,-6.026057785,-13.71548296,29.67050865,-11.80695453,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,5e717bd2-5598-11ea-b030-484d7ee4b65b
24,2/22/2020,12:26:21 PM,3,5,"Sipling, Eric",1000084319,Right,ELI_BLU,"Salva, Will",1000084162,Right,ROA_COL,Windup,2,Bottom,0,2,2,Undefined,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,78.53768291,-1.650068368,-5.173815249,1709.224114,225.9909699,1:30,6.026063462,2.08750636,6.120540013,-34.34549838,11.05842128,11.49191197,1.631993076,-1.750421974,71.54702628,-8.110162783,-3.004020661,0.484973705,,,,,,,,,,,,-7.830813292,6.526863172,-1.696946203,50,5.881504155,9.992705672,-113.8078694,-4.224893313,-10.18373859,22.53386633,-23.68605812,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,7053a54c-5598-11ea-b030-484d7ee4b65b
25,2/22/2020,12:26:39 PM,3,6,"Sipling, Eric",1000084319,Right,ELI_BLU,"Salva, Will",1000084162,Right,ROA_COL,Windup,2,Bottom,0,3,2,Undefined,Fastball,InPlay,Undefined,FlyBall,Double,0,1,,83.69615765,-2.097089261,-2.551541819,2025.836033,214.7901835,1:15,6.629291144,1.608184303,5.356894964,-21.77790388,19.22767542,13.38548379,2.845187498,0.32946941,75.84234093,-6.156333984,-0.045496866,0.460885446,92.39281389,25.34095322,-22.95198973,2057.212928,100.4968314,47.30548281,-44.72557075,345.5404559,342.0909558,-27.99880097,4.443543091,-7.881300248,10.84136341,-1.388327865,50,6.425593978,4.969654902,-121.4569064,-5.172186957,-11.65866764,25.94274247,-16.13661199,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,7f97c4b4-5598-11ea-b030-484d7ee4b65b
26,2/22/2020,12:28:14 PM,4,1,"Sipling, Eric",1000084319,Right,ELI_BLU,"Byerley, Jeb",1000084161,Left,ROA_COL,Windup,2,Bottom,0,0,0,Undefined,Other,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.58203678,0.795223743,-2.428394375,1789.158149,104.1214358,9:30,6.267072579,1.937956526,5.316161774,-55.06333908,1.130313885,-4.702864279,2.425428934,-0.734153992,65.37279147,-9.423082431,-3.307654187,0.539529444,,,,,,,,,,,,1.731767757,0.349868306,-1.714796594,50,6.300226465,4.540850937,-103.9205337,-0.121669311,1.870947027,19.37587614,-31.79606192,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,b52405ee-5598-11ea-b030-484d7ee4b65b
27,2/22/2020,12:28:29 PM,4,2,"Sipling, Eric",1000084319,Right,ELI_BLU,"Byerley, Jeb",1000084161,Left,ROA_COL,Windup,2,Bottom,0,0,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.36153149,-1.990221814,-2.122807909,1987.625812,232.0243112,1:45,6.527636792,1.755534151,5.568021213,-25.36335999,14.66072865,18.82950607,2.553094613,1.341010333,76.56522538,-6.730297983,1.417952515,0.455336269,,,,,,,,,,,,-10.7180625,8.449459933,-1.584881268,50,6.339753198,3.934223152,-122.5070348,-5.077308687,-16.12005167,26.53660507,-19.46599328,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,bda50a25-5598-11ea-b030-484d7ee4b65b
28,2/22/2020,12:28:45 PM,4,3,"Sipling, Eric",1000084319,Right,ELI_BLU,"Byerley, Jeb",1000084161,Left,ROA_COL,Windup,2,Bottom,0,1,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.79749859,0.43970476,-2.455123858,1959.217063,73.6805313,8:30,6.314707397,1.997912825,5.228105527,-58.0258947,-3.170899036,-10.65381329,1.892904958,-1.199014568,66.30663455,-10.31259594,-4.448412719,0.533064316,,,,,,,,,,,,4.819941607,-1.824826613,-1.764166358,50,6.313224539,4.838852414,-105.6176985,-0.879085015,5.341640514,21.15695039,-34.19639002,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,c759a401-5598-11ea-b030-484d7ee4b65b
29,2/22/2020,12:29:06 PM,4,4,"Sipling, Eric",1000084319,Right,ELI_BLU,"Byerley, Jeb",1000084161,Left,ROA_COL,Windup,2,Bottom,0,1,2,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.48407386,0.905576867,-3.137476751,1900.604401,239.1270379,2:00,6.235895834,1.92766014,5.431655982,-28.15520095,12.64801344,21.22011084,4.738953496,0.755134451,75.01856805,-4.415250467,0.877610075,0.459746791,,,,,,,,,,,,-12.47065298,6.430712827,-1.664030155,50,6.29730635,6.023124093,-122.4529514,1.024263415,-18.40410071,30.49711706,-22.68364844,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,d2af8853-5598-11ea-b030-484d7ee4b65b
30,2/22/2020,12:29:23 PM,4,5,"Sipling, Eric",1000084319,Right,ELI_BLU,"Byerley, Jeb",1000084161,Left,ROA_COL,Windup,2,Bottom,0,2,2,Undefined,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,,76.64133862,-0.478835518,-3.921438098,1673.985221,256.2597782,2:30,5.981856201,2.09295663,6.205027312,-43.77325093,3.649290023,15.10679914,1.891120366,-0.272902295,69.84659579,-8.740830292,-1.052373897,0.495637238,56.12789815,-41.44252977,-47.46190795,,,,,3.220130579,2.464675392,-23.77962625,0.034716187,-9.477241534,2.144267258,-1.806114635,50,5.923929724,7.235088391,-111.2943115,-2.074066029,-11.75754877,22.00276261,-29.51385183,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,dba09cca-5598-11ea-b030-484d7ee4b65b
